tweet,hate_speech,offensive_language,neither,mentions,hashtags,original_tweet
<MENTION> as a woman you shouldn t complain about cleaning up your house as a man you should always take the trash out,0,0,1,['@mayasolovely'],[],!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. & as a man you should always take the trash out...
<MENTION> boy dats cold tyga dwn bad for cuffin dat hoe in the 1st place,0,1,0,['@mleew17'],[],!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
<MENTION> dawg <MENTION> you ever fuck a bitch and she start to cry you be confused as shit,0,1,0,"['@UrKindOfBrand', '@80sbaby4life']",[],!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
<MENTION> <MENTION> she look like a tranny,0,1,0,"['@C_G_Anderson', '@viva_based']",[],!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
<MENTION> the shit just blows me claim you so faithful and down for somebody but still fucking with hoes ???,0,1,0,['@T_Madison_x'],[],"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! ???"""
<MENTION> i can not just sit up and hate on another bitch i got too much shit going on,0,1,0,['@__BrighterDays'],[],"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
<MENTION> cause i m tired of you big bitches coming for us skinny girls,0,1,0,['@selfiequeenbri'],[],!!!!“@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!”
you might not get ya bitch back thats that,0,1,0,[],[],""" & you might not get ya bitch back & thats that """
<MENTION> hobbies include fighting mariam bitch,0,1,0,['@rhythmixx_'],[],""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch"
keeks is a bitch she curves everyone lol i walked into a conversation like this smh,0,1,0,[],[],""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
so hoes that smoke are losers yea go on ig,0,1,0,[],[],""" So hoes that smoke are losers ? "" yea ... go on IG"
bad bitches is the only thing that i like,0,1,0,[],[],""" bad bitches is the only thing that i like """
bitch get up off me,0,1,0,[],[],""" bitch get up off me """
bitch nigga miss me with it,0,1,0,[],[],""" bitch nigga miss me with it """
bitch plz whatever,0,1,0,[],[],""" bitch plz whatever """
bitch who do you love,0,1,0,[],[],""" bitch who do you love """
bitches get cut off everyday b,0,1,0,[],[],""" bitches get cut off everyday B """
black bottle a bad bitch,0,1,0,[],[],""" black bottle & a bad bitch """
broke bitch cant tell me nothing,0,1,0,[],[],""" broke bitch cant tell me nothing """
cancel that bitch like nino,0,1,0,[],[],""" cancel that bitch like Nino """
cant you see these hoes wont change,0,1,0,[],[],""" cant you see these hoes wont change """
fuck no that bitch dont even suck dick ??? the kermit videos bout to fuck ig up,0,1,0,[],[],""" fuck no that bitch dont even suck dick "" ??? the Kermit videos bout to fuck IG up"
got ya bitch tip toeing on my hardwood floors ? <URL>,0,1,0,[],[],""" got ya bitch tip toeing on my hardwood floors "" ? http://t.co/cOU2WQ5L4q"
her pussy lips like heaven doors ?,0,1,0,[],[],""" her pussy lips like Heaven doors "" ?"
hoe what its hitting for,0,1,0,[],[],""" hoe what its hitting for """
i need a trippy bitch who fuck on hennessy,0,1,0,[],[],""" i need a trippy bitch who fuck on Hennessy """
i spend my money how i want bitch its my business,0,1,0,[],[],""" i spend my money how i want bitch its my business """
i txt my old bitch my new bitch pussy wetter,0,1,0,[],[],""" i txt my old bitch my new bitch pussy wetter """
i d say im back to the old me but my old bitches would get excited ?,0,1,0,[],[],""" i'd say im back to the old me but my old bitches would get excited "" ?"
if you aint bout that murder game pussy nigga shut up,0,1,0,[],[],""" if you aint bout that Murder Game pussy nigga shut up """
if you re toes ain t done you pussy stinks,0,1,0,[],[],""" if you're toes ain't done you pussy stinks """
im done with bitter bitches its a wrap for that if you a angry bird theres a app for that,0,1,0,[],[],""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
is that ya bitch,0,1,0,[],[],""" is that ya bitch """
jus meet son now he ya mane ass bitches # shots,0,1,0,[],['#Shots'],""" jus meet son now he ya mane ass bitches "" #Shots"
like snoop said in 94 we dont love these hoes,0,1,0,[],[],""" like Snoop said in 94 we dont love these hoes """
momma said no pussy cats inside my doghouse,0,0,1,[],[],""" momma said no pussy cats inside my doghouse """
most hated but the hoes favorite # 2mw # sevenone # ,0,1,0,[],"['#2MW', '#SevenOne', '#<URL>']",""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC"
nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick <URL>,0,1,0,[],[],""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U"
pimps up pimps up hoes down future voice,0,1,0,[],[],""" pimps up pimps up hoes down "" Future voice"
post a picture of that pussy get 200 likes,0,1,0,[],[],""" post a picture of that pussy get 200 likes """
pussy is a powerful drug ? # happyhumpday <URL>,0,1,0,[],['#HappyHumpDay'],""" pussy is a powerful drug "" ? #HappyHumpDay http://t.co/R8jsymiB5b"
quick piece of pussy call it a drive by,0,1,0,[],[],""" quick piece of pussy call it a drive by """
running round here like some brand new pussy thats bout to get fucked,0,1,0,[],[],""" running round here like some brand new pussy thats bout to get fucked """
these bitches even worst they ll send them guys for you,0,1,0,[],[],""" these bitches even worst they'll send them guys for you """
these hoes like niggas that spend money not talk bout it,0,1,0,[],[],""" these hoes like niggas that spend money not talk bout it """
you dodge a bullet ? <MENTION> all da bitches i cut off pregnant or bound to be thank god ?,0,1,0,['@DaRealKha'],[],""" you dodge a bullet "" ? “@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God ?""”"
young pill chamberlain these bitches love my music,0,1,0,[],[],""" young Pill Chamberlain these bitches love my music """
???????????@vandalsavage_ teanna trump probably cleaner than most of these twitter hoes but,0,1,0,[],[],"""???????????@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but........."""
??????????@dahomiefuzz gay niggas couldn t wait to act like bitches tonight,0,1,0,[],[],"""??????????@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight"""
???@the_paradox and ima steal his cat n replace it with a pitbull ???? <MENTION> <MENTION> he a bitch you should do it,0,1,0,"['@80sbaby4life', '@The_Paradox']",[],"""???@The_Paradox: And ima steal his cat n replace it with a pitbull ???? RT @80sbaby4life: @The_Paradox He a bitch you should do it"""
he s gone always be a hoe,0,1,0,[],[],"""& he's gone always be a hoe"""
son of a bitch took my tic tacs i like this movie,0,1,0,[],[],"""...Son of a bitch took my Tic Tacs.""

I like this movie."
all i wanna do is get money and fuck model bitches russell simmons,0,1,0,[],[],"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"
<MENTION> i probably wouldn t mind school as much if we didn t have to deal with bitch ass teachers retweet,0,1,0,['@2015seniorprobs'],[],"""@2015seniorprobs: I probably wouldn’t mind school as much if we didn’t have to deal with bitch ass teachers"". Retweet"
<MENTION> i m a fucking fag they said,0,1,0,['@A7XDemery'],[],"""@A7XDemery: I'm a fucking fag they said"""
<MENTION> females think dating a pussy is cute now <URL> how does doing this stuff make him a pussy,0,1,0,['@ARIZZLEINDACUT'],[],"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?"
<MENTION> simplyaddictedtoguys <URL> woof woof hot scally lad,0,0,1,['@Addicted2Guys'],[],"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad"
<MENTION> have ya ever asked your bitch for other bitches kanye voice yes,0,1,0,['@AdoreBellaaa'],[],"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
<MENTION> how u gone bring ur side bitch to a game where you know ya gf friends at ???? i swear,0,1,0,['@AdoreZoey'],[],"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! ????"" I SWEAR!!!!!"
<MENTION> <URL> woof woof and hot soles,0,0,1,['@AllAboutManFeet'],[],"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles"
<MENTION> lemmie eat a oreo do these dishes one oreo lol,0,0,1,['@Allyhaaaaa'],[],"""@Allyhaaaaa: Lemmie eat a Oreo & do these dishes."" One oreo? Lol"
<MENTION> <MENTION> <MENTION> bitch fuck u <URL> maybe you ll get better just <URL>,0,1,0,"['@Almightywayne__', '@JetsAndASwisher', '@Gook____']",[],"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S"
<MENTION> fuck red malone man bitch ass niggah could you please use complete sentences,0,1,0,['@Almightywayne__'],[],"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
<MENTION> why the eggplant emoji doe y he say she looked like scream lmao,0,0,1,['@ArizonasFinest6'],[],"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao"
<MENTION> him seh me pussy wetter then a shower curtain # ahmesehwetness <lmao,0,1,0,['@BOSSBYTCHH'],['#ahmesehwetness'],"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""<lmao!!"
<MENTION> # eaglesnation and every # eagles need to see that pic i just posted because that bitch just said the most racist shit,0,1,0,['@BRO_HEN314'],"['#Eaglesnation', '#Eagles']","""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""
<MENTION> yo fuck skateboarding all y all some wood pushing faggots man ball is life <URL> <MENTION>,0,1,0,"['@BVSEDCHINK', '@AmJemieBenn']",[],"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn"
<MENTION> baby monkey bathtime <URL> awwwwe this is soooo adorable,0,0,1,['@BabyAnimalPics'],[],"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!"
<MENTION> ???? i ain t shit damn skippy lol,0,1,0,['@BaylaaGottaBody'],[],"""@BaylaaGottaBody: ???? I ain't shit ."" Damn Skippy lol"
<MENTION> u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy no bs must b >30 chance,0,1,0,['@BeEasyJrizzy'],[],"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b >30%chance"
<MENTION> ppl talk bad about the ghetto hood but as a kid growing up a nigga had funnnnnnn,0,1,0,['@BeenFLYnSolo'],[],"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""
<MENTION> the facts on tattoos tattoo <URL> he s a pussy with not tattooing them nipples,0,1,0,['@BestProAdvice'],[],"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples"
